References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell	LCSC
R1;R10	2	270 ohm	RS-pro	707-7625			7077625			
R2;R9	2	100k ohm	TE connectivity	LR1F100k			1251168			
R3;R5;R6;R8	4	1k ohm	Vishay	MRS25000C1001FCT00			6833165			
R4;R7	2	2.2k ohm	Vishay	MRS25000C2201FCT00			6833449			
J1;J2	2	BNC connector	Amphenol	B6252H5-NPP3G-50			7009411			
Q1;Q2	2	NPN transistorST		BD139			3141823			
U1;U2	2	IC socket	Assmann	A 08-LC-TT			6742435			
U1;U2	2	LM741 opamp	Texas instruments	LM741CN/NOPB			5359969			
B1;B2	2	Battery clips	Keystone	1294			1725845			
